safe,suggestive,questionable,explicit,semi-grimdark,grimdark,grotesque,total,timestamp,timestep
17, 0, 0, 2, 0, 0, 0, 19, 299879.802747, 3601.23002101
24, 2, 1, 4, 0, 1, 0, 31, 303481.860977, 3602.05823017
17, 2, 4, 3, 0, 0, 0, 26, 307083.157099, 3601.29612201
6, 3, 0, 1, 0, 0, 0, 20, 310684.223152, 3601.06605316
23, 1, 5, 6, 0, 1, 0, 26, 314285.370319, 3601.14716713
15, 2, 1, 8, 0, 0, 0, 26, 317886.552749, 3601.18243016
27, 0, 2, 6, 0, 0, 0, 40, 321487.318896, 3600.76614706
39, 1, 4, 13, 1, 6, 0, 54, 325095.015678, 3607.69678217
24, 3, 2, 3, 0, 0, 0, 32, 328696.295905, 3601.28022711
16, 3, 1, 2, 0, 0, 0, 42, 332297.456978, 3601.16107308
44, 7, 4, 10, 2, 1, 1, 47, 335898.782388, 3601.32540997
28, 1, 0, 11, 0, 0, 1, 40, 339500.018061, 3601.23567316
44, 2, 2, 15, 0, 1, 0, 63, 343101.277372, 3601.25931112
28, 2, 1, 8, 0, 0, 0, 49, 346702.543452, 3601.26608002
31, 0, 2, 6, 0, 0, 0, 36, 350303.637402, 3601.09395006
-24, 9, -2, 9, -1, 0, 0, 0, 353904.607972, 3600.97057015
12, -1, 14, 6, 0, 1, 2, 21, 357505.589651, 3600.98167911
23, -1, 0, 11, 1, 0, 0, 26, 361106.502172, 3600.91252099
18, 1, 1, 30, 0, 0, 0, 54, 364707.660674, 3601.1585021
24, 2, 4, 9, 1, 0, 0, 40, 368308.864158, 3601.20348415
26, 0, 1, 6, 0, 0, 0, 31, 371909.44131, 3600.57715217
11, 2, 2, 4, 0, 1, 0, 26, 375510.697023, 3601.25571315
6, 1, 1, 2, 0, 0, 0, 0, 379111.334388, 3600.63736502
9, 2, 2, 6, 2, 0, 0, 27, 382712.450018, 3601.11563017
18, 5, 2, 5, -1, 1, 0, 30, 386313.586546, 3601.13652794
15, 3, 0, 4, 2, 0, 0, 0, 389914.735918, 3601.14937205
23, 2, 3, 7, 0, 0, 0, 67, 393515.792308, 3601.05639009
24, 2, 3, 9, 0, 2, 3, 32, 397117.021348, 3601.22904
10, 3, 0, 0, 0, 0, 0, 0, 400717.67506, 3600.65371203
19, -3, 0, 5, 1, 0, 0, 41, 404318.831668, 3601.15660814
21, 0, 0, 10, 1, 1, 0, 0, 407920.008053, 3601.17638506
16, 5, 0, 12, -1, 0, 0, 64, 411521.386121, 3601.37806803
17, 1, 4, 6, 2, 0, 0, 32, 415122.416676, 3601.03055504
20, 5, 0, 6, 1, 1, 0, 35, 418723.743111, 3601.32643513
32, 7, 2, 12, 5, 0, 0, 44, 422325.008614, 3601.26550306
23, 4, 1, 10, 0, 0, 0, 0, 425925.560209, 3600.55159504
30, 1, 2, 4, 0, 0, 0, 75, 429526.71738, 3601.15717105
10, 3, 1, 10, 0, 0, 0, 36, 433127.807796, 3601.090416
17, 4, 6, 9, 0, 0, 0, 21, 436728.647516, 3600.83972001
15, -2, 6, 4, 0, 0, 0, 26, 440329.844349, 3601.19683315
17, 4, 1, 7, 0, 0, 0, 22, 443930.455199, 3600.61085
9, 5, 1, 4, 0, 1, 0, 26, 447531.577283, 3601.12208414
11, 2, 1, 6, 0, -1, 1, 0, 451132.198042, 3600.62075915
19, 2, 3, 12, 0, 0, 0, 56, 454733.383313, 3601.18527094
19, 1, 2, 1, -9, -1, 0, 23, 458334.634082, 3601.25076908
12, 0, 3, 6, 0, 1, 0, 15, 461935.27878, 3600.64469798
4, -1, -1, 0, 0, 0, 0, 0, 465535.860063, 3600.58128308
18, 2, 3, 8, 2, 1, 0, 44, 469137.052133, 3601.19207008
10, 0, 0, 6, 4, -2, 0, 0, 472737.683281, 3600.63114794
9, 2, 1, 2, 1, 0, 0, 29, 476338.818675, 3601.13539404
23, 1, 2, 7, 0, 0, 0, 39, 479939.917952, 3601.09927706
23, 0, 1, 3, 0, 0, 0, 19, 483540.47877, 3600.56081802
14, 1, 0, 8, 0, 0, 0, 22, 487141.139248, 3600.66047813
27, 1, 0, 8, 0, 0, 0, 0, 490741.795204, 3600.65595616
