safe,suggestive,questionable,explicit,semi-grimdark,grimdark,grotesque,total,timestamp,timestep
22, 1, -2, 4, 3, 0, 1, 19, 1255327.7297973633, 3601.0154621601105
23, 3, 0, 6, 0, 0, 0, 18, 1258929.344448328, 3601.614650964737
28, 0, 3, 3, 0, 0, 0, 53, 1262531.101389885, 3601.7569415569305
4, -1, -1, 3, 0, 0, 0, 13, 1266132.8924360275, 3601.791046142578
11, 1, 2, 2, 0, 0, 0, 34, 1269734.0611777306, 3601.1687417030334
39, 3, 2, 8, 0, 0, 0, 45, 1273335.7754888535, 3601.7143111228943
24, 2, 2, 16, 1, 3, 0, 37, 1276937.5831553936, 3601.807666540146
29, 0, 0, 3, 1, 3, 0, 25, 1280539.3052387238, 3601.7220833301544
5, 0, 1, 5, 1, -2, 0, 25, 1284140.9379343987, 3601.6326956748962
44, 7, 4, 5, 0, 1, 0, 70, 1287742.7536873817, 3601.8157529830933
26, 3, 4, 16, 1, 0, 1, 25, 1291343.9451022148, 3601.191414833069
14, 3, 0, 12, 1, 2, 0, 32, 1294946.6549143791, 3602.7098121643066
21, 2, 0, 5, 1, 0, 0, 42, 1298548.962450266, 3602.3075358867645
35, 7, 0, 6, 0, 0, 0, 45, 1302152.4160501957, 3603.4535999298096
23, 2, 4, 5, 0, 0, 0, 33, 1305754.8157343864, 3602.39968419075
12, 1, 1, 5, 0, 0, 0, 8, 1309360.0702896118, 3605.2545552253723
8, 5, 2, 10, 0, 0, 0, 25, 1312964.490720749, 3604.420431137085
43, 2, 4, 2, 1, 1, 0, 51, 1316566.1003620625, 3601.609641313553
29, 2, 1, 8, 1, 0, 0, 41, 1320167.8360390663, 3601.7356770038605
10, 0, 1, 1, -1, 2, 1, 13, 1323769.5008838177, 3601.664844751358
25, 1, 2, 4, 1, 0, 0, 33, 1327371.4452130795, 3601.94432926178
14, 0, 1, 3, 0, 0, 0, 20, 1330973.402657032, 3601.9574439525604
10, 0, 0, 1, 0, 0, 0, 9, 1334575.2215399742, 3601.8188829421997
15, 5, 0, 4, 1, 0, 0, 25, 1338176.7731101513, 3601.5515701770782
5, 4, -3, 2, 0, 0, 0, 13, 1341779.1600723267, 3602.3869621753693
13, 0, 0, 0, 0, 0, 0, 21, 1345380.9165558815, 3601.75648355484
37, 4, 1, 3, 0, -1, 0, 20, 1348982.0531253815, 3601.1365694999695
27, -1, 1, 6, 0, 1, 0, 61, 1352583.5553674698, 3601.502242088318
65, -1, -5, 15, 2, 0, 1, 59, 1356185.3405749798, 3601.7852075099945
30, -23, 9, 1, 0, 0, 0, 0, 1359787.284510374, 3601.943935394287
27, 0, 1, 8, 0, 0, 0, 61, 1363389.0469789505, 3601.7624685764313
